start_date,end_date,length_days,avg_P_highvol
2000-01-04,2000-03-23,56,0.9715119047619049
2000-04-12,2000-06-02,36,0.9934814814814812
2000-10-05,2001-01-05,64,0.9798437500000001
2001-02-16,2001-04-26,48,0.9472916666666666
2001-07-05,2001-07-17,9,0.8380740740740741
2001-08-24,2001-11-02,46,0.9481304347826088
2002-01-29,2002-03-04,24,0.9352499999999999
2002-04-11,2003-04-23,261,0.9616270753512132
2007-02-27,2007-02-27,1,0.9786666666666667
2007-07-24,2007-09-07,33,0.9533939393939393
2007-10-31,2008-02-06,67,0.9600995024875623
2008-02-28,2008-04-01,23,0.9850144927536234
2008-06-05,2009-06-04,252,0.9859047619047618
2009-06-12,2009-07-15,23,0.9742608695652174
2009-10-23,2009-11-05,10,0.8349333333333334
2010-01-20,2010-02-04,12,0.9605555555555555
2010-04-27,2010-07-23,62,0.9781612903225807
2010-08-11,2010-09-02,17,0.8816470588235293
2011-07-27,2011-12-20,103,0.9857022653721684
2012-06-01,2012-06-07,5,0.784
2012-06-21,2012-06-21,1,0.7226666666666667
2014-10-07,2014-10-13,5,0.8328
2015-08-20,2015-09-10,15,0.9749333333333332
2015-09-25,2015-09-30,4,0.7828333333333333
2015-12-03,2016-02-18,52,0.9136923076923078
2016-06-23,2016-06-29,5,0.914
2018-02-02,2018-02-12,7,0.9569523809523811
2018-03-22,2018-04-06,11,0.9873333333333334
2018-10-10,2019-01-04,59,0.9861920903954802
2019-08-02,2019-08-23,16,0.9601666666666666
2020-02-24,2020-06-30,90,0.9703555555555557
2020-09-02,2020-10-12,28,0.9281904761904762
2020-10-23,2020-11-05,10,0.9520666666666667
2021-01-27,2021-02-01,4,0.8668333333333332
2021-02-25,2021-03-05,7,0.9617142857142857
2021-11-26,2021-12-09,10,0.9006666666666667
2022-01-18,2022-03-25,48,0.9628055555555556
2022-04-08,2022-08-01,78,0.9383418803418806
2022-08-18,2022-11-14,62,0.9799032258064516
2022-11-28,2022-12-28,22,0.9076666666666667
2024-07-24,2024-08-08,12,0.9255555555555555
2025-02-27,2025-04-24,40,0.9751999999999998
2025-05-12,2025-05-12,1,0.7253333333333334
